Row Labels,Sum of lat,Sum of lng
Arao,32.9867,130.4333
Beppu,33.2847,131.4911
Chatan,26.32,127.7639
Fukata,33.8056,130.5406
Fukuoka,33.5903,130.4019
Ginowan,26.2817,127.7783
Gishi,26.1911,127.7286
Hiji,33.3694,131.5325
Hirado,33.3681,129.5539
Honmachi,32.5178,130.6181
Iizuka,33.6458,130.6914
Imarichō-kō,33.2647,129.8808
Isahaya,32.8442,130.0536
Ishigaki,24.3333,124.15
Itoman,26.1236,127.6658
Kagoshima,31.58,130.5281
Kamata,33.5633,130.7117
Kanada,33.7761,130.9806
Kaneyama,31.3833,130.85
Kanzakimachi-kanzaki,33.3108,130.3731
Kasuga,33.6108,130.4806
Kitaku,33.8704,130.82
Kitsuki,33.4169,131.6161
Kizuki,33.85,130.7
Kobayashi,31.9967,130.9728
Koga,33.7333,130.4667
Koja,26.3643,127.8328
Kumamoto,32.8031,130.7078
Miyajima,33.1525,130.4747
Miyazaki,31.9167,131.4167
Nagasaki,32.7833,129.8667
Nago,26.5917,127.9775
Naha,26.2122,127.6789
Nakama,33.8167,130.709
Nakatsu,33.5983,131.1883
Nichinan,31.6019,131.3789
Nishihara,26.2261,127.7656
Nobeoka,32.5822,131.665
Nōgata,33.7439,130.7297
Obita,32.8253,129.875
Ogimachi,33.2506,130.2017
Ogōshi,32.8858,130.7897
Ōita,33.2333,131.6067
Ōmura,32.9,129.9583
Ōsawa,33.2067,130.3839
Ōzu,32.8789,130.8683
Saga,33.2667,130.3
Saiki,32.9603,131.8994
Sasaguri,33.6156,130.5511
Sato,33.1631,129.7177
Shimabara,32.7756,130.3381
Shimeo,33.5914,130.4797
Shingū,33.7153,130.4467
Shinozaki,33.95,130.9333
Sue,33.5872,130.5072
Takeochō-takeo,33.1939,130.0192
Tamagawa,33.6317,130.7997
Tamana,32.9281,130.5597
Togitsu,32.8289,129.8486
Tomigusuku,26.1772,127.6811
Umi,33.5678,130.5111
Usuki,33.1258,131.8047
Yakushima,30.39,130.651111
Yamaga,33.0167,130.6914
Yashiki,32.7914,130.8164
Yonashiro-teruma,26.3792,127.8575
