Row Labels,Sum of lat,Sum of lng
Ikata-chō,33.4883,132.3542
Imabari,34.0661,132.9978
Iyo,33.7575,132.7039
Kan’onjichō,34.1283,133.6628
Kōchi,33.5667,133.5333
Komatsushimachō,34.0047,134.5906
Masaki,33.7875,132.7114
Matsuyama,33.8333,132.7667
Nakai,33.5756,133.6414
Narutochō-mitsuishi,34.1667,134.6167
Niihama,33.9603,133.2834
Ōzu,33.5064,132.5447
Saijō,33.9196,133.1812
Sakaidechō,34.3164,133.8606
Takamatsu,34.35,134.05
Tokushima,34.0667,134.55
Uwajima,33.2233,132.5606
Yawatahama-shi,33.4631,132.4233
Zentsujichó,34.2283,133.7872
