Row Labels,Sum of lat,Sum of lng
Akita,39.7197,140.1025
Aomori,40.8222,140.7475
Daisen,39.4531,140.4756
Date,37.8189,140.5631
Fukushima,37.7608,140.4733
Furudate,40.5293,141.3055
Hachimanchō,40.51,141.54
Hanamaki Onsen,39.3886,141.1167
Hanawa,40.2158,140.7883
Higashimatsushima,38.4264,141.2106
Higashine,38.4314,140.3911
Hirakawachō,40.5842,140.5664
Ishizaki,38.4281,141.3061
Iwaki,37.0333,140.8833
Kakuda,37.9772,140.7819
Kamaishi,39.2758,141.8856
Katagami,39.8833,139.9889
Kitakami,39.2867,141.1131
Kuji,40.1903,141.7753
Kurihara,38.7303,141.0214
Kuroishi,40.6428,140.5944
Minami-Sōma,37.6422,140.9572
Misawa,40.6833,141.3689
Miyako,39.6414,141.9572
Morioka,39.6833,141.15
Motomiya,37.5133,140.3939
Mutsu,41.2931,141.1831
Natori-shi,38.1717,140.8919
Noshiromachi,40.2122,140.0267
Ōbiraki,40.57,140.47
Ōdate,40.2717,140.5647
Ōfunato,39.0822,141.7083
Onagawa Chō,38.4449,141.4327
Ōshū,39.1444,141.1389
Ōwada,40.6128,141.2058
Rifu,38.3303,140.9756
Sagae,38.3811,140.2761
Sakata,38.9144,139.8364
Sasagawa,37.2867,140.3728
Sendai,38.2683,140.8694
Shima,39.5547,141.1678
Shirakawa,37.1264,140.2108
Shiroishi,38.0022,140.6197
Tamuramachi-moriyama,37.41,140.38
Tendō,38.3622,140.3783
Tomiya,38.4,140.8953
Toyomamachi-teraike,38.6919,141.1878
Tsuruno,40.8089,140.38
Tsuruoka,38.7217,139.8217
Uchimaru,40.5144,141.4927
Yamagata,38.25,140.3333
Yokotemachi,39.3106,140.5533
Yurihonjō,39.3858,140.0489
Yuzawa,39.1644,140.4958
Tsugaru,40.808722,140.380056
Hirosaki,40.603111,140.463833
Hiraizumi,38.986611,141.113833
Kitaakita,40.226028,140.370806
