city,lat,lng,admin_name,population,population_proper,picture,comments
Tokyo,35.6897,139.6922,Tōkyō,37977000,13515271,app/static/pictures/tokyo.jpg,"Tokyo is the capital of Japan and one of the largest cities in the world. About 38 million people are estimated to live in the Greater Tokyo Area, almost one third of the total population of Japan. <br>The Shibuya Crossing will give you a pretty good idea of the busy life in Tokyo. Try to go up one of the skyscrapers nearby to have an aerial view of the area! <br>"
Ōsaka,34.6936,135.5019,Ōsaka,14977000,2725006,app/static/pictures/osaka.jpg,"If you go to Osaka, don’t forget to take a walk in Shinsekai (litt. ""New World"") and eat some delicious kushikatsu. "
Nagoya,35.1167,136.9333,Aichi,9113000,2320361,app/static/pictures/nagoya.jpg,"Nagoya attracts a large international community as the city hosts the headquarters of Toyota Motors Corporation. If you miss food from your home country, head to Osu Kannon shopping street!"
Yokohama,35.4333,139.6333,Kanagawa,3748781,3748781,app/static/pictures/yokohama.jpg,"Yokohama was one of the first port to open to foreigners after centuries of isolation. If you are interested in architecture, try to explore the city as it is home to many Western-style buildings."
Fukuoka,33.5903,130.4019,Fukuoka,2128000,1588924,app/static/pictures/fukuoka.jpg,"This is a picture of the Futamigaura torii in the Itoshima Peninsula, about a 40-min drive from the city of Fukuoka.  "
Sapporo,43.0621,141.3544,Hokkaidō,1958756,1958756,NULL,coming soon
Kyōto,35.0111,135.7669,Kyōto,1805000,1459640,app/static/pictures/kyoto.jpg,"Kyoto was the capital of Japan for more than 1,000 years. I highly recommend spending at least two or three days in Kyoto to fully enjoy the city. One of the most popular spot is the Fushimi Inari Shrine and its long trail of torii gates. "
Kōbe,34.6913,135.183,Hyōgo,1522944,1522944,app/static/pictures/kobe.jpg,"Kobe beef might not be for people who are on a budget, but give it a try if you can afford it!"
Saitama,35.8617,139.6453,Saitama,1307931,1307931,NULL,coming soon
Hiroshima,34.3853,132.4553,Hiroshima,1306589,1306589,app/static/pictures/hiroshima.jpg,"Hiroshima sadly became famous for a tragic reason, and no visit to the city would be complete without seeing the A-Bomb Dome. If you have time, try to visit the small island of Miyajima, famous for its giant torii in the sea. "
Sendai,38.2683,140.8694,Miyagi,1058070,1058070,app/static/pictures/sendai.jpg,"Not far from Sendai is an active volcano called Mount Zao, which features a beautiful crater lake."
Chiba,35.6,140.1,Chiba,980203,980203,app/static/pictures/chiba.jpg,"Chiba is a nice residential area for people working in Tokyo, but the city is mostly famous for Disneyland! "
