city,lat,lng,admin_name,population,population_proper
Tokyo,35.6897,139.6922,Tōkyō,37977000,13515271
Ōsaka,34.6936,135.5019,Ōsaka,14977000,2725006
Nagoya,35.1167,136.9333,Aichi,9113000,2320361
Yokohama,35.4333,139.6333,Kanagawa,3748781,3748781
Fukuoka,33.5903,130.4019,Fukuoka,2128000,1588924
Sapporo,43.0621,141.3544,Hokkaidō,1958756,1958756
Kyōto,35.0111,135.7669,Kyōto,1805000,1459640
Kōbe,34.6913,135.183,Hyōgo,1522944,1522944
Saitama,35.8617,139.6453,Saitama,1307931,1307931
Hiroshima,34.3853,132.4553,Hiroshima,1306589,1306589
Sendai,38.2683,140.8694,Miyagi,1058070,1058070
Chiba,35.6,140.1,Chiba,980203,980203
Niigata,37.9161,139.0364,Niigata,796500,796500
Kumamoto,32.8031,130.7078,Kumamoto,739393,739393
Shizuoka,34.9756,138.3825,Shizuoka,691185,691185
Kagoshima,31.58,130.5281,Kagoshima,595319,595319
Hachiōji,35.6667,139.3167,Tōkyō,577560,577560
Utsunomiya,36.55,139.8833,Tochigi,519255,519255
Himeji,34.8167,134.6833,Hyōgo,530517,530517
Matsuyama,33.8333,132.7667,Ehime,509139,509139
Ōita,33.2333,131.6067,Ōita,477701,477701
Kanazawa,36.5667,136.65,Ishikawa,463873,463873
Takamatsu,34.35,134.05,Kagawa,418772,418772
Toyama,36.7,137.22,Toyama,415816,415816
Nagasaki,32.7833,129.8667,Nagasaki,411421,411421
Gifu,35.4167,136.7667,Gifu,401534,401534
Miyazaki,31.9167,131.4167,Miyazaki,398307,398307
Nagano,36.6486,138.1928,Nagano,370057,370057
Wakayama,34.2333,135.1667,Wakayama,355825,355825
Nara,34.6833,135.7833,Nara,353989,353989
Kawagoe,35.9177,139.4911,Saitama,337931,337931
Maebashi,36.3833,139.0667,Gunma,332999,332999
Kōchi,33.5667,133.5333,Kōchi,328930,328930
Naha,26.2122,127.6789,Okinawa,317606,317606
Akita,39.7197,140.1025,Akita,306178,306178
Morioka,39.6833,141.15,Iwate,292554,292554
Fukushima,37.7608,140.4733,Fukushima,286742,286742
Aomori,40.8222,140.7475,Aomori,276567,276567
Tsu,34.7186,136.5056,Mie,275371,275371
Mito,36.3667,140.4667,Ibaraki,269661,269661
Fukui,36.0641,136.2196,Fukui,262530,262530
Tokushima,34.0667,134.55,Tokushima,255167,255167
Yamagata,38.25,140.3333,Yamagata,249327,249327
Fuji,35.1614,138.6764,Shizuoka,245078,245078
Saga,33.2667,130.3,Saga,233514,233514
Matsue,35.4681,133.0486,Shimane,203565,203565
Yamaguchi,34.1781,131.4739,Yamaguchi,194990,194990
Tottori,35.5011,134.235,Tottori,188740,188740
Kōfu,35.6667,138.5667,Yamanashi,188406,188406
Kamakura,35.3197,139.5525,Kanagawa,172262,172262
Narita,35.7833,140.3167,Chiba,132293,132293
Shibuya,35.6536,139.7092,Tōkyō,102056,102056
Nikkō,36.7198,139.6982,Tochigi,78768,78768
Zushi,35.2956,139.5803,Kanagawa,56936,56936
Kamiyoshida,35.4875,138.8081,Yamanashi,47211,47211
Atami,35.0961,139.0717,Shizuoka,36089,36089
Izu,34.9767,138.9469,Shizuoka,29262,29262
Yakushima,30.39,130.6511,Kagoshima,12000,12000
Hakone,35.1833,139.0333,Kanagawa,13492,13492
Kawasaki,35.5167,139.7,Kanagawa,"1,531,646","1,531,646"
Odawara,35.25,139.15,Kanagawa,"194,672","194,672"
Yokosuka,35.25,139.6667,Kanagawa,"409,478","409,478"
Okayama,34.65,133.9167,Okayama,720865,720865
Kusatsu,36.6207,138.5961,Gunma,,
Kawanakajima,35.53,139.705,Kanagawa,1437266,1306785
Kitaku,33.8704,130.82,Fukuoka,997536,983037
Hamamatsu,34.7167,137.7333,Shizuoka,791770,791770
Sagamihara,35.5667,139.3667,Kanagawa,722828,722828
Honchō,35.6947,139.9825,Chiba,639107,639107
Kawaguchi,35.8078,139.7242,Saitama,592373,592373
Ichikawa,35.7219,139.9311,Chiba,495592,495592
Higashi-ōsaka,34.6794,135.6008,Ōsaka,494640,494640
Matsudo,35.7878,139.9031,Chiba,492671,492671
Nishinomiya-hama,34.7333,135.3333,Hyōgo,487413,487413
Fukuyama,34.4858,133.3625,Hiroshima,462203,462203
Machida,35.5486,139.4467,Tōkyō,434407,434407
Kashiwa,35.8544,139.9689,Chiba,429070,429070
Toyota,35.0833,137.1567,Aichi,426477,426477
Okazaki,34.95,137.1667,Aichi,387294,387294
Minamisuita,34.7667,135.5167,Ōsaka,381829,381829
Ichinomiya,35.3039,136.8031,Aichi,379689,379689
Toyohashi,34.7667,137.3833,Aichi,373234,373234
Koshigaya,35.8911,139.7908,Saitama,345458,345458
Ōtsu,35.0167,135.85,Shiga,342175,342175
Tokorozawa,35.7994,139.4689,Saitama,341409,341409
Tamuramachi-moriyama,37.41,140.38,Fukushima,340560,264602
Iwaki,37.0333,140.8833,Fukushima,340231,340231
Asahikawa,43.7706,142.365,Hokkaidō,334692,334692
Yokkaichi,34.9667,136.6167,Mie,310145,310145
Kasugai,35.25,136.9667,Aichi,306876,306876
Ōakashichō,34.6431,134.9975,Hyōgo,299094,299094
Ichihara,35.4981,140.1156,Chiba,270478,270478
Yao,34.6269,135.6008,Nara,266386,266386
Fuchū,35.6689,139.4778,Tōkyō,263932,263932
Kakogawachō-honmachi,34.7569,134.8414,Hyōgo,262308,262308
Hiratsuka,35.3231,139.3422,Kanagawa,257729,257729
Shinozaki,33.95,130.9333,Fukuoka,257038,257038
Hakodate,41.7733,140.7261,Hokkaidō,256222,256222
Sōka,35.8256,139.8056,Saitama,250939,250939
Chigasaki,35.3339,139.4047,Kanagawa,241887,241887
Tsukuba-kenkyūgakuen-toshi,36.0333,140.0667,Ibaraki,240987,240987
Chōfugaoka,35.6506,139.5408,Tōkyō,239650,239650
Hachimanchō,40.51,141.54,Aomori,239046,212104
Yato,35.4693,139.4616,Kanagawa,237445,237445
Sato,33.1631,129.7177,Nagasaki,237444,211251
Neya,34.7661,135.6281,Ōsaka,229974,229974
Kasukabe,35.9753,139.7525,Saitama,229932,229932
Ageoshimo,35.9775,139.5933,Saitama,225907,225907
Sakurazuka,34.8,135.3603,Ōsaka,225008,225008
Minamiōzuma,36.2404,137.97,Nagano,224926,210667
Atsugichō,35.4333,139.3667,Kanagawa,224677,224677
Kure,34.2492,132.5658,Hiroshima,218351,218351
Ashino,42.975,144.3747,Hokkaidō,198566,183612
Itami,34.7867,135.4056,Hyōgo,198395,198395
Yachiyo,35.7225,140.0997,Chiba,197792,197792
Higashi-Hiroshima,34.4167,132.7333,Hiroshima,195805,195805
Suzuka,34.8822,136.5842,Mie,195762,195762
Naka,37.4504,138.86,Niigata,195318,179802
Kumagaya,36.1472,139.3886,Saitama,194959,194959
Nagareyama,35.8561,139.9025,Saitama,193976,193976
Kamirenjaku,35.6833,139.5594,Tōkyō,192489,192489
Kawara,35.2647,139.1522,Kanagawa,190109,190109
Hino,35.6714,139.395,Tōkyō,189945,189945
Jōetsu,37.15,138.2333,Niigata,189881,189881
Anjōmachi,34.9667,137.0833,Aichi,188181,188181
Izuo,34.4836,135.4236,Ōsaka,185208,185208
Toyokawa,34.8268,137.3759,Aichi,183823,183823
Uji,34.8808,135.7794,Kyōto,180975,180975
Tachikawa,35.6939,139.4194,Tōkyō,180880,180880
Hitachi,36.6,140.65,Ibaraki,176069,176069
Ōbiraki,40.57,140.47,Aomori,174972,168429
Takaoka,42.6504,141.55,Hokkaidō,174806,147905
Beppuchō,42.9304,143.17,Hokkaidō,173890,165338
Narashino,35.6808,140.0267,Chiba,173716,173716
Izumo,35.3681,132.755,Shimane,172784,172784
Sakura,35.7239,140.2239,Chiba,170906,170906
Nishio,34.8667,137.0667,Aichi,169926,169926
Takaoka,36.75,137.0333,Toyama,167800,167800
Oyama,36.3147,139.8003,Tochigi,167633,167633
Iwata,34.7178,137.8514,Shizuoka,166393,166393
Ube,33.9517,131.2467,Yamaguchi,164325,164325
Niiza,35.7933,139.5653,Saitama,164083,164083
Matsuzaka,34.5781,136.5275,Mie,160080,160080
Ōgaki,35.3594,136.6128,Gifu,158911,158911
Tochigi,36.3824,139.7341,Tochigi,155714,155714
Hitachi-Naka,36.3964,140.5344,Ibaraki,155680,155680
Ueda,36.4019,138.2492,Nagano,154201,154201
Daiwanishi,34.83,135.4172,Hyōgo,153597,153597
Kariya,34.9833,137,Aichi,153190,153190
Noda,35.955,139.8747,Chiba,152652,152652
Imabari,34.0661,132.9978,Ehime,151956,151956
Kukichūō,36.0622,139.6669,Saitama,151106,151106
Higashi-murayama,35.7547,139.4686,Tōkyō,150186,150186
Sayama,35.8531,139.4122,Saitama,149423,149423
Komaki,35.2833,136.9167,Aichi,148709,148709
Tama,35.6333,139.45,Tōkyō,147832,147832
Yonago,35.4281,133.3311,Tottori,147667,147667
Iruma,35.8358,139.3911,Saitama,146802,146802
Kakamigahara,35.3989,136.8486,Gifu,144335,144335
Fukayachō,36.2,139.2833,Saitama,141966,141966
